ensemble:~/p/ruby/vpim/trunk % ruby -I lib profile.rb 
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.27   303.36      0.84     1300     0.65     4.62  Vpim::DirectoryInfo::Field#to_text
  0.24   304.12      0.76     6526     0.12     0.12  Kernel.kind_of?
  0.23   304.85      0.73     7808     0.09     0.09  Module#===
  0.22   305.53      0.68     5202     0.13     0.13  Hash#default
  0.22   306.21      0.68     6506     0.10     0.10  String#size
  0.22   306.89      0.68     1301     0.52     4.96  Vpim.outer_inner
  0.21   307.55      0.66     6506     0.10     0.10  MatchData#[]
  0.21   308.21      0.66     6506     0.10     0.10  String#length
  0.20   308.85      0.64     6506     0.10     0.10  Kernel.freeze
  0.19   309.46      0.61    10411     0.06     0.06  Array#last
  0.19   310.05      0.59     7807     0.08     0.08  Array#push
  0.19   310.64      0.59     6506     0.09     0.09  String#chomp!
  0.18   311.21      0.57     1301     0.44     3.79  Vpim::DirectoryInfo#create
  0.13   311.63      0.42     6506     0.06     0.06  String#to_str
  0.12   312.02      0.39     1300     0.30    15.86  Vpim::DirectoryInfo#[]
  0.09   312.29      0.27     3900     0.07     0.07  String#gsub
  0.07   312.52      0.23     1302     0.18     2.51  Enumerable.detect
  0.06   312.71      0.19     1300     0.15     0.15  Hash#key?
  0.05   312.86      0.15       27     5.56    45.56  Kernel.require
  0.04   313.00      0.14     1300     0.11     0.11  Hash#[]=
  0.03   313.08      0.08     1300     0.06     0.06  String#upcase
  0.02   313.13      0.05     1301     0.04     0.04  Array#pop
  0.01   313.17      0.04        3    13.33    13.33  Integer#gcd
  0.01   313.20      0.03       28     1.07     1.43  Module#module_eval
  0.01   313.23      0.03      106     0.28     0.28  Kernel.singleton_method_added
  0.01   313.25      0.02      252     0.08     0.08  Module#method_added
  0.00   313.26      0.01       91     0.11     0.11  Fixnum#to_s
  0.00   313.27      0.01        3     3.33    16.67  Rational#reduce
  0.00   313.28      0.01        1    10.00    10.00  Date#jd_to_civil
  0.00   313.29      0.01       12     0.83     0.83  Fixnum#<
  0.00   313.30      0.01        1    10.00    10.00  Date#civil_to_jd
  0.00   313.31      0.01        2     5.00     5.00  Module#attr
  0.00   313.32      0.01       91     0.11     0.11  Symbol#to_i
  0.00   313.33      0.01        1    10.00    10.00  Rational#coerce
  0.00   313.33      0.00        1     0.00    70.00  Date#jd_to_ajd
  0.00   313.33      0.00        1     0.00     0.00  Kernel.singleton_method_undefined
  0.00   313.33      0.00       24     0.00     0.00  Fixnum#>>
  0.00   313.33      0.00        5     0.00     2.00  Rational#new!
  0.00   313.33      0.00        2     0.00     0.00  Array#join
  0.00   313.33      0.00        1     0.00     0.00  Vpim::DirectoryInfo#check_begin_end
  0.00   313.33      0.00        3     0.00     0.00  Fixnum#<<
  0.00   313.33      0.00        1     0.00 21940.00  Vpim.expand
  0.00   313.33      0.00        7     0.00     8.57  Date#once
  0.00   313.33      0.00        2     0.00     0.00  Date#os?
  0.00   313.33      0.00        2     0.00     5.00  Rational#/
  0.00   313.33      0.00        2     0.00     0.00  Array#+
  0.00   313.33      0.00        4     0.00     2.50  Module#attr_reader
  0.00   313.33      0.00        1     0.00     0.00  File#initialize
  0.00   313.33      0.00        5     0.00     0.00  Module#included
  0.00   313.33      0.00       75     0.00     0.00  Fixnum#==
  0.00   313.33      0.00        6     0.00     0.00  Fixnum#div
  0.00   313.33      0.00        4     0.00     0.00  Float#*
  0.00   313.33      0.00        2     0.00     0.00  Fixnum#<=
  0.00   313.33      0.00       82     0.00     0.00  Fixnum#*
  0.00   313.33      0.00        1     0.00     0.00  Array#==
  0.00   313.33      0.00        2     0.00     0.00  Hash#keys
  0.00   313.33      0.00        5     0.00     2.00  Rational#initialize
  0.00   313.33      0.00        1     0.00     0.00  Module#undef_method
  0.00   313.33      0.00       10     0.00     0.00  Float#floor
  0.00   313.33      0.00        1     0.00     0.00  Date#initialize
  0.00   313.33      0.00        8     0.00     0.00  Module#private_class_method
  0.00   313.33      0.00        1     0.00    20.00  Date#valid_civil?
  0.00   313.33      0.00       47     0.00     0.00  Fixnum#[]
  0.00   313.33      0.00        1     0.00    50.00  Rational#-
  0.00   313.33      0.00       22     0.00     0.45  Module#alias_method
  0.00   313.33      0.00        2     0.00     0.00  Module#method_undefined
  0.00   313.33      0.00        1     0.00 312970.00  Vpim::Icalendar#decode
  0.00   313.33      0.00        1     0.00 255020.00  Vpim::Icalendar#initialize
  0.00   313.33      0.00        1     0.00     0.00  Class#new0
  0.00   313.33      0.00       11     0.00     0.00  Fixnum#+
  0.00   313.33      0.00        3     0.00    16.67  Object#Rational
  0.00   313.33      0.00        1     0.00     0.00  Integer#to_r
  0.00   313.33      0.00       14     0.00     0.00  Class#inherited
  0.00   313.33      0.00        2     0.00     0.00  Module#public
  0.00   313.33      0.00        5     0.00     0.00  Module#append_features
  0.00   313.33      0.00        4     0.00     0.00  Float#coerce
  0.00   313.33      0.00        6     0.00     0.00  Float#/
  0.00   313.33      0.00        5     0.00     0.00  Module#include
  0.00   313.33      0.00        6     0.00     0.00  Fixnum#abs
  0.00   313.33      0.00       23     0.00     0.00  Module#private
  0.00   313.33      0.00        1     0.00 36000.00  Vpim.decode
  0.00   313.33      0.00       26     0.00     2.31  Fixnum#-
  0.00   313.33      0.00       26     0.00     0.00  Symbol#to_s
  0.00   313.33      0.00        1     0.00     0.00  Kernel.open
  0.00   313.33      0.00        1     0.00    90.00  Date#new
  0.00   313.33      0.00        1     0.00  4840.00  Vpim.unfold
  0.00   313.33      0.00        4     0.00     0.00  Fixnum#/
  0.00   313.33      0.00        1     0.00 313330.00  #toplevel

